"Id","Country","Region","Population","Area (sq. mi.)","Coastline","GDP"
79,"Gibraltar ","WESTERN EUROPE                     ",27928,7,"171,43",17500
80,"Greece ","WESTERN EUROPE                     ",10688058,131940,"10,37",20000
81,"Greenland ","NORTHERN AMERICA                   ",56361,2166086,"2,04",20000
82,"Grenada ","LATIN AMER. & CARIB    ",89703,344,"35,17",5000
83,"Guadeloupe ","LATIN AMER. & CARIB    ",452776,1780,"17,19",8000
84,"Guam ","OCEANIA                            ",171019,541,"23,20",21000
85,"Guatemala ","LATIN AMER. & CARIB    ",12293545,108890,"0,37",4100
86,"Guernsey ","WESTERN EUROPE                     ",65409,78,"64,10",20000
87,"Guinea ","SUB-SAHARAN AFRICA                 ",9690222,245857,"0,13",2100
88,"Guinea-Bissau ","SUB-SAHARAN AFRICA                 ",1442029,36120,"0,97",800
89,"Guyana ","LATIN AMER. & CARIB    ",767245,214970,"0,21",4000
90,"Haiti ","LATIN AMER. & CARIB    ",8308504,27750,"6,38",1600
91,"Honduras ","LATIN AMER. & CARIB    ",7326496,112090,"0,73",2600
92,"Hong Kong ","ASIA (EX. NEAR EAST)         ",6940432,1092,"67,12",28800
93,"Hungary ","EASTERN EUROPE                     ",9981334,93030,"0,00",13900
94,"Iceland ","WESTERN EUROPE                     ",299388,103000,"4,83",30900
95,"India ","ASIA (EX. NEAR EAST)         ",1095351995,3287590,"0,21",2900
96,"Indonesia ","ASIA (EX. NEAR EAST)         ",245452739,1919440,"2,85",3200
97,"Iran ","ASIA (EX. NEAR EAST)         ",68688433,1648000,"0,15",7000
98,"Iraq ","NEAR EAST                          ",26783383,437072,"0,01",1500
99,"Ireland ","WESTERN EUROPE                     ",4062235,70280,"2,06",29600
100,"Isle of Man ","WESTERN EUROPE                     ",75441,572,"27,97",21000
101,"Israel ","NEAR EAST                          ",6352117,20770,"1,31",19800
102,"Italy ","WESTERN EUROPE                     ",58133509,301230,"2,52",26700
103,"Jamaica ","LATIN AMER. & CARIB    ",2758124,10991,"9,30",3900
104,"Japan ","ASIA (EX. NEAR EAST)         ",127463611,377835,"7,87",28200
105,"Jersey ","WESTERN EUROPE                     ",91084,116,"60,34",24800
106,"Jordan ","NEAR EAST                          ",5906760,92300,"0,03",4300
107,"Kazakhstan ","C.W. OF IND. STATES ",15233244,2717300,"0,00",6300
108,"Kenya ","SUB-SAHARAN AFRICA                 ",34707817,582650,"0,09",1000
109,"Kiribati ","OCEANIA                            ",105432,811,"140,94",800
110,"Korea, North ","ASIA (EX. NEAR EAST)         ",23113019,120540,"2,07",1300
111,"Korea, South ","ASIA (EX. NEAR EAST)         ",48846823,98480,"2,45",17800
112,"Kuwait ","NEAR EAST                          ",2418393,17820,"2,80",19000
113,"Kyrgyzstan ","C.W. OF IND. STATES ",5213898,198500,"0,00",1600
114,"Laos ","ASIA (EX. NEAR EAST)         ",6368481,236800,"0,00",1700
115,"Latvia ","BALTICS                            ",2274735,64589,"0,82",10200
116,"Lebanon ","NEAR EAST                          ",3874050,10400,"2,16",4800
117,"Lesotho ","SUB-SAHARAN AFRICA                 ",2022331,30355,"0,00",3000
118,"Liberia ","SUB-SAHARAN AFRICA                 ",3042004,111370,"0,52",1000
119,"Libya ","NORTHERN AFRICA                    ",5900754,1759540,"0,10",6400
120,"Liechtenstein ","WESTERN EUROPE                     ",33987,160,"0,00",25000
121,"Lithuania ","BALTICS                            ",3585906,65200,"0,14",11400
122,"Luxembourg ","WESTERN EUROPE                     ",474413,2586,"0,00",55100
123,"Macau ","ASIA (EX. NEAR EAST)         ",453125,28,"146,43",19400
124,"Macedonia ","EASTERN EUROPE                     ",2050554,25333,"0,00",6700
125,"Madagascar ","SUB-SAHARAN AFRICA                 ",18595469,587040,"0,82",800
126,"Malawi ","SUB-SAHARAN AFRICA                 ",13013926,118480,"0,00",600
127,"Malaysia ","ASIA (EX. NEAR EAST)         ",24385858,329750,"1,42",9000
128,"Maldives ","ASIA (EX. NEAR EAST)         ",359008,300,"214,67",3900
129,"Mali ","SUB-SAHARAN AFRICA                 ",11716829,1240000,"0,00",900
130,"Malta ","WESTERN EUROPE                     ",400214,316,"62,28",17700
131,"Marshall Islands ","OCEANIA                            ",60422,11854,"3,12",1600
132,"Martinique ","LATIN AMER. & CARIB    ",436131,1100,"31,82",14400
133,"Mauritania ","SUB-SAHARAN AFRICA                 ",3177388,1030700,"0,07",1800
134,"Mauritius ","SUB-SAHARAN AFRICA                 ",1240827,2040,"8,68",11400
135,"Mayotte ","SUB-SAHARAN AFRICA                 ",201234,374,"49,52",2600
136,"Mexico ","LATIN AMER. & CARIB    ",107449525,1972550,"0,47",9000
