lat(°),long(°),height(m),time(s) 
-20.895830802619457,55.54636185988784,34.20000076293945,0
-20.895828790962696,55.54639999754727,34.400001525878906,0
-20.895819570869207,55.54660979658365,34.0,0
-20.895845973864198,55.54680123925209,34.20000076293945,0
-20.895892828702927,55.5469976272434,34.0,0
-20.895940773189068,55.54720683954656,34.20000076293945,0
-20.89600154198706,55.54741068743169,33.79999923706055,0
-20.896048732101917,55.547601291909814,33.400001525878906,0
-20.896093575283885,55.54778887890279,33.400001525878906,0
-20.89609634131193,55.54790614172816,33.20000076293945,0
-20.89600045233965,55.54808501154184,33.20000076293945,0
-20.895906575024128,55.5482513923198,33.400001525878906,0
-20.895801885053515,55.5484152585268,33.400001525878906,0
-20.895733069628477,55.54859044030309,33.20000076293945,0
-20.895776404067874,55.54878808557987,33.0,0
-20.895824935287237,55.54899159818888,33.0,0
-20.89586516842246,55.549189327284694,33.0,0
-20.895909257233143,55.54937875829637,33.20000076293945,0
-20.895947059616446,55.549577325582504,33.20000076293945,0
-20.895989639684558,55.54978528060019,33.20000076293945,0
-20.89604160748422,55.549990804865956,33.20000076293945,0
-20.896071111783385,55.55018400773406,32.599998474121094,0
-20.89603858999908,55.55038911290467,32.79999923706055,0
-20.89599072933197,55.55057678371668,33.400001525878906,0
-20.89590858668089,55.55074869655073,33.599998474121094,0
-20.89580406434834,55.550915664061904,34.0,0
-20.895722173154354,55.55104189552367,34.20000076293945,0
-20.895622177049518,55.55122814141214,34.20000076293945,0
-20.89550751261413,55.55138605646789,34.400001525878906,0
-20.895383963361382,55.551534835249186,34.79999923706055,0
-20.89525915682316,55.55170515552163,35.20000076293945,0
-20.895243734121323,55.55172217078507,35.400001525878906,0
-20.89509512297809,55.55186642333865,35.400001525878906,0
-20.894955983385444,55.551989302039146,35.20000076293945,0
-20.894792787730694,55.552116287872195,35.599998474121094,0
-20.894652558490634,55.55225442163646,35.79999923706055,0
-20.89452431537211,55.55239548906684,36.0,0
-20.894390121102333,55.55253102444112,36.20000076293945,0
-20.894365226849914,55.55256622843444,36.599998474121094,0
-20.894258441403508,55.55273252539337,36.79999923706055,0
-20.89417638257146,55.55292371660471,36.79999923706055,0
-20.89409625157714,55.55311390198767,37.20000076293945,0
-20.894015282392502,55.5533092841506,37.20000076293945,0
-20.893952921032906,55.55350332520902,37.20000076293945,0
-20.89394235983491,55.55354414507747,37.400001525878906,0
-20.89388184249401,55.55373910814524,37.599998474121094,0
-20.89383096434176,55.5539345741272,37.79999923706055,0
-20.893784780055285,55.55413984693587,38.20000076293945,0
-20.89373373426497,55.55432600900531,38.599998474121094,0
-20.893718311563134,55.55441301316023,38.599998474121094,0
-20.893668942153454,55.554614681750536,38.79999923706055,0
-20.89362912811339,55.55480537004769,39.400001525878906,0
-20.893617728725076,55.55494375526905,39.599998474121094,0
-20.893617812544107,55.55496320128441,39.599998474121094,0
-20.893609011545777,55.55515958927572,40.20000076293945,0
-20.893611442297697,55.55530241690576,40.79999923706055,0
-20.893610352650285,55.55538246408105,40.599998474121094,0
-20.89358218945563,55.55539277382195,40.599998474121094,0
-20.89344841428101,55.555323120206594,39.79999923706055,0
-20.893290331587195,55.55543476715684,39.20000076293945,0
-20.893234508112073,55.55562822148204,39.599998474121094,0
